@relation tk_aggregate

@attribute R1 numeric
@attribute D1 numeric
@attribute R2 numeric
@attribute D2 numeric
@attribute R3 numeric
@attribute D3 numeric
@attribute R4 numeric
@attribute D4 numeric
@attribute R5 numeric
@attribute D5 numeric
@attribute R6 numeric
@attribute D6 numeric
@attribute R7 numeric
@attribute Label {N,Y}

@data
0.3,0.08,0.18,0.08,0.31,0.2,8,13,0.5,0.38,0.62,0.58,1.25,N
0.09,0.13,0.17,0.08,0.25,0.15,10,14,0.56,0.35,0.55,0.61,1.25,N
0.17,0.07,0.16,0.08,0.23,0.15,11,14,0.65,0.54,0.59,0.64,0.75,N
0.14,0.13,0.2,0.08,0.19,0.15,13,14,0.62,0.81,0.69,0.86,0.75,N
0.13,0,0.22,0.07,0.17,0.14,14,15,0.65,0.79,0.71,0.87,1.25,N
0.07,0,0.15,0.07,0.2,0.15,14,15,0.69,0.75,0.68,0.8,1.25,N
0.07,0.03,0.12,0.07,0.2,0.15,14,15,0.73,0.75,0.79,0.8,1.25,N
0.07,0,0.19,0.07,0.2,0.15,14,15,0.65,0.75,0.71,0.8,1,N
0,-0.07,0.18,0.11,0.18,0.18,15,15,0.68,0.79,0.73,0.8,1,N
-0.06,-0.03,0.09,0.11,0.16,0.18,17,15,0.78,0.71,0.82,0.73,1.25,N
0.43,0.24,0.37,0.11,0.43,0.29,5,10,0.12,0.11,0.4,0.45,1.25,N
0.43,0.18,0.27,0.11,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.75,N
0.43,0.18,0.42,0.16,0.45,0.21,5,10,0,0.28,0.2,0.5,1,N
0.29,0.18,0.38,0.11,0.39,0.21,6,10,0.1,0.67,0.33,0.8,1,N
0.11,0.18,0.18,0.11,0.31,0.21,8,10,0.5,0.67,0.62,0.8,1.25,N
0.18,0.18,0.17,0.15,0.25,0.21,10,10,0.61,0.61,0.55,0.7,0.75,N
0.23,0.18,0.21,0.15,0.2,0.21,12,10,0.59,0.61,0.67,0.7,0.75,N
0.14,0.1,0.23,0.15,0.19,0.25,13,10,0.62,0.67,0.69,0.7,1.25,N
0.11,0.09,0.16,0.15,0.2,0.25,13,10,0.71,0.56,0.65,0.6,1.25,N
0.43,0.24,0.37,0.11,0.43,0.29,5,10,0.12,0.11,0.4,0.45,1.25,N
0.43,0.18,0.27,0.11,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.75,N
0.43,0.18,0.42,0.16,0.45,0.21,5,10,0,0.28,0.2,0.5,1,N
0.38,0.17,0.38,0.1,0.39,0.19,6,11,0.1,0.5,0.33,0.55,1,N
0.3,0.08,0.18,0.08,0.31,0.2,8,13,0.5,0.38,0.62,0.58,1.25,N
0.09,0.13,0.17,0.08,0.25,0.15,10,14,0.56,0.35,0.55,0.61,1.25,N
0.17,0.07,0.16,0.08,0.23,0.15,11,14,0.65,0.54,0.59,0.64,0.75,N
0.14,0.13,0.2,0.08,0.19,0.15,13,14,0.62,0.81,0.69,0.86,0.75,N
0.07,0.07,0.16,0.08,0.21,0.16,13,14,0.67,0.73,0.65,0.79,1.25,N
0.07,0.07,0.12,0.08,0.21,0.16,13,14,0.71,0.73,0.77,0.79,1.25,N
0.07,0.07,0.19,0.08,0.21,0.16,13,14,0.62,0.73,0.69,0.79,1,N
0.12,0.07,0.19,0.11,0.2,0.19,14,14,0.65,0.77,0.71,0.79,1,N
0.06,0.07,0.1,0.11,0.17,0.19,16,14,0.77,0.69,0.81,0.71,1.25,N
0.5,0.2,0.3,0.21,0.52,0.31,4,9,0,0.06,0.25,0.39,0.75,N
0.5,0.2,0.45,0.22,0.52,0.23,4,9,0,0.19,0,0.44,1,N
0.43,0.18,0.42,0.11,0.45,0.21,5,10,0,0.44,0.2,0.5,1,N
0.33,0.15,0.19,0.12,0.35,0.22,7,12,0.42,0.32,0.57,0.54,1.25,N
0.27,0.15,0.18,0.08,0.27,0.18,9,12,0.56,0.45,0.5,0.58,0.75,N
0.22,0.15,0.22,0.08,0.22,0.18,11,12,0.55,0.77,0.64,0.83,0.75,N
0.17,0.15,0.17,0.12,0.24,0.18,11,12,0.6,0.68,0.59,0.75,1.25,N
0.08,0.15,0.13,0.15,0.24,0.18,11,12,0.65,0.68,0.73,0.75,1.25,N
0.15,0.08,0.21,0.12,0.24,0.18,11,12,0.55,0.68,0.64,0.75,1,N
0.15,0.08,0.2,0.12,0.22,0.21,12,12,0.59,0.73,0.67,0.75,1,N
0.13,0.08,0.1,0.12,0.2,0.21,14,12,0.73,0.64,0.79,0.67,1.25,N
0.5,0.2,0.3,0.21,0.52,0.31,4,9,0,0.06,0.25,0.39,0.75,N
0.5,0.2,0.45,0.22,0.52,0.23,4,9,0,0.19,0,0.44,1,N
0.43,0.18,0.42,0.11,0.45,0.21,5,10,0,0.44,0.2,0.5,1,N
0.33,0.15,0.19,0.12,0.35,0.22,7,12,0.42,0.32,0.57,0.54,1.25,N
0.27,0.15,0.18,0.08,0.27,0.18,9,12,0.56,0.45,0.5,0.58,0.75,N
0.22,0.15,0.22,0.08,0.22,0.18,11,12,0.55,0.77,0.64,0.83,0.75,N
0.15,0.04,0.24,0.08,0.2,0.16,12,13,0.59,0.75,0.67,0.85,1.25,N
0.08,0,0.17,0.12,0.22,0.17,12,13,0.64,0.71,0.62,0.77,1.25,N
0.08,0.07,0.12,0.12,0.22,0.17,12,13,0.68,0.71,0.75,0.77,1.25,N
0.08,0,0.2,0.12,0.22,0.17,12,13,0.59,0.71,0.67,0.77,1,N
0.07,0,0.19,0.12,0.21,0.2,13,13,0.62,0.75,0.69,0.77,1,N
0.06,0,0.1,0.12,0.18,0.2,15,13,0.75,0.67,0.8,0.69,1.25,N
0.5,0.2,0.3,0.21,0.52,0.31,4,9,0,0.06,0.25,0.39,0.75,N
0.5,0.2,0.45,0.22,0.52,0.23,4,9,0,0.19,0,0.44,1,N
0.43,0.18,0.42,0.11,0.45,0.21,5,10,0,0.44,0.2,0.5,1,N
0.33,0.15,0.19,0.12,0.35,0.22,7,12,0.42,0.32,0.57,0.54,1.25,N
0.2,0.14,0.18,0.08,0.27,0.16,9,13,0.5,0.29,0.5,0.58,1.25,N
0.18,0.11,0.17,0.08,0.25,0.16,10,13,0.61,0.5,0.55,0.62,0.75,N
0.15,0.14,0.21,0.08,0.2,0.16,12,13,0.59,0.79,0.67,0.85,0.75,N
0.14,0,0.23,0.08,0.19,0.15,13,14,0.62,0.77,0.69,0.86,1.25,N
0.07,0,0.16,0.08,0.21,0.16,13,14,0.67,0.73,0.65,0.79,1.25,N
0.07,0.07,0.12,0.08,0.21,0.16,13,14,0.71,0.73,0.77,0.79,1.25,N
0.07,0,0.19,0.08,0.21,0.16,13,14,0.62,0.73,0.69,0.79,1,N
0.07,-0.04,0.19,0.11,0.2,0.19,14,14,0.65,0.77,0.71,0.79,1,N
0,-0.04,0.1,0.11,0.17,0.19,16,14,0.77,0.69,0.81,0.71,1.25,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.29,0.18,0.26,0.2,0.35,0.21,7,10,0.33,0.28,0.36,0.5,0.5,N
0.2,0.1,0.32,0.2,0.26,0.21,9,10,0.44,0.67,0.56,0.8,0.5,N
0.1,0.1,0.25,0.2,0.28,0.21,9,10,0.56,0.67,0.5,0.8,0.5,N
0.1,0.09,0.17,0.15,0.28,0.21,9,10,0.56,0.61,0.67,0.7,0.5,N
0.1,0.1,0.26,0.15,0.28,0.21,9,10,0.44,0.61,0.56,0.7,0.75,N
0.17,0.09,0.25,0.15,0.26,0.25,10,10,0.5,0.67,0.6,0.7,0.75,N
0.08,0.09,0.12,0.15,0.22,0.25,12,10,0.68,0.56,0.75,0.6,0.5,N
0.5,0.2,0.44,0.11,0.52,0.31,4,9,0,0.06,0.25,0.39,0.5,N
0.38,0.2,0.33,0.14,0.39,0.23,6,9,0.2,0.19,0.25,0.44,0.5,N
0.4,0.2,0.33,0.11,0.29,0.23,8,9,0.36,0.62,0.5,0.78,0.5,N
0.3,0.2,0.3,0.11,0.3,0.23,8,9,0.5,0.62,0.44,0.78,0.5,N
0.22,0.11,0.28,0.16,0.31,0.24,8,9,0.5,0.56,0.62,0.67,0.5,N
0.26,0.2,0.33,0.16,0.31,0.24,8,9,0.36,0.56,0.5,0.67,0.75,N
0.24,0.18,0.32,0.15,0.28,0.21,9,10,0.44,0.61,0.56,0.7,0.75,N
0.18,0.1,0.3,0.15,0.26,0.25,10,10,0.5,0.67,0.6,0.7,0.75,N
0.15,0.1,0.2,0.15,0.22,0.25,12,10,0.68,0.56,0.75,0.6,0.5,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.29,0.18,0.26,0.2,0.35,0.21,7,10,0.33,0.28,0.36,0.5,0.5,N
0.26,0.17,0.32,0.1,0.26,0.19,9,11,0.44,0.5,0.56,0.55,0.5,N
0.18,0.09,0.3,0.1,0.23,0.19,10,11,0.5,0.7,0.6,0.82,0.5,N
0.09,0.13,0.24,0.1,0.25,0.19,10,11,0.61,0.7,0.55,0.82,0.5,N
0.09,0.08,0.16,0.1,0.26,0.2,10,11,0.61,0.65,0.7,0.73,0.5,N
0.09,0.08,0.25,0.1,0.26,0.2,10,11,0.5,0.65,0.6,0.73,0.75,N
0.15,0,0.15,0.14,0.24,0.18,11,12,0.55,0.68,0.64,0.75,0.75,N
0.15,0,0.19,0.13,0.29,0.17,11,13,0.5,0.71,0.55,0.77,1,Y
0.04,0,0.22,0.13,0.21,0.2,11,13,0.62,0.75,0.69,0.77,0.75,N
0,0,0.11,0.13,0.18,0.2,11,13,0.75,0.67,0.8,0.69,0.5,N
0.5,0.2,0.44,0.11,0.52,0.31,4,9,0,0.06,0.25,0.39,0.5,N
0.5,0.2,0.5,0.19,0.52,0.23,4,9,0,0.19,0,0.44,0.75,N
0.43,0.2,0.47,0.17,0.45,0.23,5,9,0,0.62,0.2,0.78,0.75,N
0.33,0.2,0.29,0.17,0.35,0.23,7,9,0.42,0.62,0.57,0.78,0.5,N
0.24,0.1,0.25,0.16,0.27,0.24,9,9,0.56,0.56,0.5,0.67,0.5,N
0.17,0.2,0.25,0.16,0.22,0.24,11,9,0.55,0.56,0.64,0.67,0.5,N
0.15,0.1,0.24,0.16,0.2,0.27,12,9,0.59,0.62,0.67,0.67,0.5,N
0.12,0.1,0.2,0.16,0.21,0.27,12,9,0.68,0.5,0.62,0.56,0.5,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.38,0.18,0.42,0.18,0.45,0.21,5,10,0,0.28,0.2,0.5,0.75,N
0.29,0.18,0.38,0.16,0.39,0.21,6,10,0.1,0.67,0.33,0.8,0.75,N
0.12,0.14,0.18,0.16,0.31,0.21,8,10,0.5,0.67,0.62,0.8,0.5,N
0.09,0.17,0.16,0.1,0.25,0.19,10,11,0.56,0.65,0.55,0.73,0.75,N
0.17,0.08,0.15,0.14,0.23,0.2,11,11,0.65,0.65,0.59,0.73,0.5,N
0.14,0.08,0.2,0.14,0.19,0.2,13,11,0.62,0.65,0.69,0.73,0.5,N
0.13,0.08,0.19,0.14,0.17,0.23,14,11,0.65,0.7,0.71,0.73,0.5,N
0.07,0.08,0.12,0.14,0.18,0.23,14,11,0.73,0.6,0.68,0.64,0.5,N
0.5,0.2,0.44,0.11,0.52,0.31,4,9,0,0.06,0.25,0.39,0.5,N
0.5,0.2,0.5,0.19,0.52,0.23,4,9,0,0.19,0,0.44,0.75,N
0.43,0.2,0.47,0.17,0.45,0.23,5,9,0,0.62,0.2,0.78,0.75,N
0.33,0.2,0.29,0.17,0.35,0.23,7,9,0.42,0.62,0.57,0.78,0.5,N
0.27,0.18,0.17,0.16,0.27,0.21,9,10,0.5,0.61,0.5,0.7,0.75,N
0.25,0.05,0.16,0.15,0.25,0.21,10,10,0.61,0.61,0.55,0.7,0.5,N
0.15,0.09,0.21,0.15,0.2,0.21,12,10,0.59,0.61,0.67,0.7,0.5,N
0.14,0.09,0.2,0.15,0.18,0.25,13,10,0.62,0.67,0.69,0.7,0.5,N
0.14,0.09,0.12,0.15,0.2,0.25,13,10,0.71,0.56,0.65,0.6,0.5,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.38,0.18,0.42,0.18,0.45,0.21,5,10,0,0.28,0.2,0.5,0.75,N
0.29,0.09,0.33,0.15,0.5,0.19,5,11,0,0.7,0,0.82,1,Y
0.22,0.09,0.36,0.15,0.35,0.19,5,11,0.25,0.7,0.43,0.82,0.75,N
0.11,0.09,0.17,0.15,0.28,0.19,5,11,0.56,0.7,0.67,0.82,0.5,N
0.17,0.12,0.15,0.1,0.23,0.18,5,12,0.6,0.68,0.59,0.75,0.75,N
0.08,0.08,0.14,0.14,0.21,0.18,5,12,0.68,0.68,0.62,0.75,0.5,N
0.13,0.08,0.22,0.14,0.17,0.18,5,12,0.65,0.68,0.71,0.75,0.5,N
0.12,0.08,0.19,0.14,0.16,0.21,5,12,0.68,0.73,0.73,0.75,0.5,N
0.03,0.08,0.11,0.14,0.17,0.21,5,12,0.75,0.64,0.7,0.67,0.5,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.29,0.18,0.26,0.2,0.35,0.21,7,10,0.33,0.28,0.36,0.5,0.5,N
0.2,0.1,0.32,0.2,0.26,0.21,9,10,0.44,0.67,0.56,0.8,0.5,N
0.1,0.1,0.25,0.2,0.28,0.21,9,10,0.56,0.67,0.5,0.8,0.5,N
0.1,0.09,0.17,0.15,0.28,0.21,9,10,0.56,0.61,0.67,0.7,0.5,N
0.1,0.1,0.26,0.15,0.28,0.21,9,10,0.44,0.61,0.56,0.7,0.75,N
0.18,0.08,0.16,0.14,0.26,0.2,10,11,0.5,0.65,0.6,0.73,0.75,N
0.17,0.08,0.2,0.14,0.31,0.18,10,12,0.44,0.68,0.5,0.75,1,Y
0.11,0.08,0.23,0.14,0.22,0.21,10,12,0.59,0.73,0.67,0.75,0.75,N
0.07,0.08,0.12,0.14,0.2,0.21,10,12,0.73,0.64,0.79,0.67,0.5,N
0.5,0.2,0.44,0.11,0.52,0.31,4,9,0,0.06,0.25,0.39,0.5,N
0.38,0.2,0.33,0.14,0.39,0.23,6,9,0.2,0.19,0.25,0.44,0.5,N
0.4,0.2,0.33,0.11,0.29,0.23,8,9,0.36,0.62,0.5,0.78,0.5,N
0.3,0.2,0.3,0.11,0.3,0.23,8,9,0.5,0.62,0.44,0.78,0.5,N
0.22,0.11,0.28,0.16,0.31,0.24,8,9,0.5,0.56,0.62,0.67,0.5,N
0.26,0.2,0.33,0.16,0.31,0.24,8,9,0.36,0.56,0.5,0.67,0.75,N
0.24,0.2,0.32,0.16,0.28,0.27,9,9,0.44,0.62,0.56,0.67,0.75,N
0.17,0.11,0.2,0.16,0.24,0.27,11,9,0.65,0.5,0.73,0.56,0.5,N
0.5,0.2,0.44,0.11,0.52,0.31,4,9,0,0.06,0.25,0.39,0.5,N
0.38,0.2,0.33,0.14,0.39,0.23,6,9,0.2,0.19,0.25,0.44,0.5,N
0.4,0.2,0.33,0.11,0.29,0.23,8,9,0.36,0.62,0.5,0.78,0.5,N
0.3,0.2,0.3,0.11,0.3,0.23,8,9,0.5,0.62,0.44,0.78,0.5,N
0.22,0.11,0.28,0.16,0.31,0.24,8,9,0.5,0.56,0.62,0.67,0.5,N
0.26,0.2,0.33,0.16,0.31,0.24,8,9,0.36,0.56,0.5,0.67,0.75,N
0.24,0.18,0.32,0.15,0.28,0.21,9,10,0.44,0.61,0.56,0.7,0.75,N
0.2,0.17,0.21,0.14,0.33,0.2,9,11,0.38,0.65,0.44,0.73,1,Y
0.16,0.08,0.24,0.14,0.24,0.23,9,11,0.55,0.7,0.64,0.73,0.75,N
0.07,0.08,0.12,0.14,0.21,0.23,9,11,0.71,0.6,0.77,0.64,0.5,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.29,0.18,0.26,0.2,0.35,0.21,7,10,0.33,0.28,0.36,0.5,0.5,N
0.2,0.1,0.32,0.2,0.26,0.21,9,10,0.44,0.67,0.56,0.8,0.5,N
0.1,0.1,0.25,0.2,0.28,0.21,9,10,0.56,0.67,0.5,0.8,0.5,N
0.1,0.09,0.17,0.15,0.28,0.21,9,10,0.56,0.61,0.67,0.7,0.5,N
0.1,0.1,0.26,0.15,0.28,0.21,9,10,0.44,0.61,0.56,0.7,0.75,N
0.1,0.08,0.21,0.14,0.33,0.2,9,11,0.38,0.65,0.44,0.73,1,Y
0.08,0.08,0.24,0.14,0.24,0.23,9,11,0.55,0.7,0.64,0.73,0.75,N
0.07,0.08,0.12,0.14,0.21,0.23,9,11,0.71,0.6,0.77,0.64,0.5,N
0.5,0.2,0.44,0.11,0.52,0.31,4,9,0,0.06,0.25,0.39,0.5,N
0.38,0.2,0.33,0.14,0.39,0.23,6,9,0.2,0.19,0.25,0.44,0.5,N
0.33,0.18,0.33,0.11,0.29,0.21,8,10,0.36,0.44,0.5,0.5,0.5,N
0.33,0.18,0.32,0.11,0.26,0.21,9,10,0.44,0.67,0.56,0.8,0.5,N
0.27,0.18,0.28,0.11,0.28,0.21,9,10,0.56,0.67,0.5,0.8,0.5,N
0.2,0.18,0.26,0.11,0.28,0.21,9,10,0.56,0.61,0.67,0.7,0.5,N
0.19,0.1,0.32,0.11,0.28,0.21,9,10,0.44,0.61,0.56,0.7,0.75,N
0.17,0.08,0.3,0.14,0.26,0.2,10,11,0.5,0.65,0.6,0.73,0.75,N
0.15,0.08,0.29,0.14,0.24,0.23,11,11,0.55,0.7,0.64,0.73,0.75,N
0.07,0.08,0.19,0.14,0.21,0.23,13,11,0.71,0.6,0.77,0.64,0.5,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.29,0.18,0.26,0.2,0.35,0.21,7,10,0.33,0.28,0.36,0.5,0.5,N
0.26,0.17,0.32,0.1,0.26,0.19,9,11,0.44,0.5,0.56,0.55,0.5,N
0.18,0.09,0.3,0.1,0.23,0.19,10,11,0.5,0.7,0.6,0.82,0.5,N
0.09,0.13,0.24,0.1,0.25,0.19,10,11,0.61,0.7,0.55,0.82,0.5,N
0.09,0.08,0.16,0.1,0.26,0.2,10,11,0.61,0.65,0.7,0.73,0.5,N
0.09,0.08,0.25,0.1,0.26,0.2,10,11,0.5,0.65,0.6,0.73,0.75,N
0.15,0,0.15,0.14,0.24,0.18,11,12,0.55,0.68,0.64,0.75,0.75,N
0,-0.08,0.23,0.14,0.22,0.21,12,12,0.59,0.73,0.67,0.75,0.75,N
-0.04,0,0.12,0.14,0.2,0.21,14,12,0.73,0.64,0.79,0.67,0.5,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.29,0.18,0.26,0.2,0.35,0.21,7,10,0.33,0.28,0.36,0.5,0.5,N
0.26,0.17,0.32,0.1,0.26,0.19,9,11,0.44,0.5,0.56,0.55,0.5,N
0.18,0.09,0.3,0.1,0.23,0.19,10,11,0.5,0.7,0.6,0.82,0.5,N
0.09,0.13,0.24,0.1,0.25,0.19,10,11,0.61,0.7,0.55,0.82,0.5,N
0.09,0.08,0.16,0.1,0.26,0.2,10,11,0.61,0.65,0.7,0.73,0.5,N
0.09,0.08,0.25,0.1,0.26,0.2,10,11,0.5,0.65,0.6,0.73,0.75,N
0.08,0.04,0.24,0.14,0.24,0.23,11,11,0.55,0.7,0.64,0.73,0.75,N
0,0.08,0.12,0.14,0.21,0.23,13,11,0.71,0.6,0.77,0.64,0.5,N
0.43,0.18,0.37,0.2,0.43,0.28,5,10,0.12,0.11,0.4,0.45,0.75,N
0.33,0.18,0.27,0.18,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.5,N
0.38,0.18,0.42,0.18,0.45,0.21,5,10,0,0.28,0.2,0.5,0.75,N
0.29,0.09,0.33,0.15,0.5,0.19,5,11,0,0.7,0,0.82,1,Y
0.22,0.09,0.36,0.15,0.35,0.19,5,11,0.25,0.7,0.43,0.82,0.75,N
0.11,0.09,0.17,0.15,0.28,0.19,5,11,0.56,0.7,0.67,0.82,0.5,N
0.08,0.04,0.2,0.14,0.23,0.2,5,11,0.65,0.65,0.59,0.73,0.5,N
0.08,0.04,0.23,0.14,0.19,0.2,5,11,0.62,0.65,0.69,0.73,0.5,N
0.07,0.08,0.22,0.14,0.17,0.23,5,11,0.65,0.7,0.71,0.73,0.5,N
0,0.04,0.15,0.14,0.18,0.23,5,11,0.73,0.6,0.68,0.64,0.5,N
0.5,0.2,0.44,0.11,0.52,0.31,4,9,0,0.06,0.25,0.39,0.42,N
0.38,0.2,0.33,0.14,0.39,0.23,6,9,0.2,0.19,0.25,0.44,0.08,N
0.4,0.2,0.33,0.11,0.29,0.23,8,9,0.36,0.62,0.5,0.78,0.08,N
0.3,0.2,0.3,0.11,0.3,0.23,8,9,0.5,0.62,0.44,0.78,0.08,N
0.22,0.11,0.28,0.16,0.31,0.24,8,9,0.5,0.56,0.62,0.67,0.42,N
0.26,0.2,0.33,0.16,0.31,0.24,8,9,0.36,0.56,0.5,0.67,0.75,N
0.22,0.18,0.22,0.15,0.36,0.21,8,10,0.29,0.61,0.38,0.7,0.67,Y
0.17,0.09,0.25,0.15,0.26,0.25,8,10,0.5,0.67,0.6,0.7,0.75,N
0.08,0.09,0.12,0.15,0.22,0.25,8,10,0.68,0.56,0.75,0.6,-0.42,N
0.5,0.2,0.44,0.11,0.52,0.31,4,9,0,0.06,0.25,0.39,0.5,N
0.38,0.2,0.33,0.14,0.39,0.23,6,9,0.2,0.19,0.25,0.44,0.5,N
0.4,0.2,0.33,0.11,0.29,0.23,8,9,0.36,0.62,0.5,0.78,0.5,N
