ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_3_0 PLACE_3_1,0.61,0.57,0.63,0.61,0.24,0.22,12.0,13.0,0.41,0.46,0.46,0.46,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.27,0.25,0.3,0.24,0.27,0.25,12.0,13.0,0.45,0.46,0.54,0.5,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.14,0.13,0.18,0.21,0.27,0.25,12.0,13.0,0.5,0.54,0.58,0.62,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.14,0.13,0.18,0.17,0.27,0.25,12.0,13.0,0.55,0.62,0.58,0.69,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.27,0.13,0.18,0.17,0.27,0.25,12.0,13.0,0.5,0.58,0.54,0.58,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.25,0.19,0.25,0.24,0.31,0.29,12.0,13.0,0.45,0.5,0.5,0.5,1.0,Y
MOVE PLACE_1_3 PLACE_0_3,0.12,0.19,0.23,0.24,0.28,0.33,12.0,13.0,0.54,0.42,0.54,0.46,2.0,N
PICKUP PLACE_0_0 KEY_1,0.75,0.79,0.79,0.74,0.36,0.4,7.0,7.0,0.08,0.0,0.21,0.07,2.0,N
PICKUP PLACE_0_0 KEY_0,0.86,0.25,0.82,0.29,0.27,0.41,8.0,7.0,0.21,0.0,0.31,0.14,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.69,0.64,0.7,0.67,0.33,0.26,8.0,9.0,0.14,0.38,0.25,0.39,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.36,0.35,0.5,0.47,0.28,0.23,9.0,10.0,0.38,0.39,0.44,0.45,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.36,0.29,0.4,0.38,0.23,0.17,11.0,12.0,0.45,0.5,0.5,0.54,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.61,0.57,0.63,0.61,0.24,0.22,12.0,13.0,0.41,0.46,0.46,0.46,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.27,0.25,0.3,0.24,0.27,0.25,12.0,13.0,0.45,0.46,0.54,0.5,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.14,0.13,0.18,0.21,0.27,0.25,12.0,13.0,0.5,0.54,0.58,0.62,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.14,0.13,0.18,0.17,0.27,0.25,12.0,13.0,0.55,0.62,0.58,0.69,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.27,0.13,0.18,0.17,0.27,0.25,12.0,13.0,0.5,0.58,0.54,0.58,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.25,0.19,0.25,0.24,0.31,0.29,12.0,13.0,0.45,0.5,0.5,0.5,1.0,Y
